Name,Phone,Address,Website,Email
Izzy's Electric,+1 559-859-5348,Not available,Not available,Not available
911 Plumbing & Electric INC,+1 559-960-1922,"6371 N Milburn Ave, Fresno, CA 93722, United States",911plumbingelectric.com,support@911plumbingelectric.com
"Pure Energy Electrical Contractor, Electrical Repair Service, Residential Electrician Atascadero CA",+1 805-265-4101,Not available,pureenergy-ca.com,
Cali-Co Electrical Contractors,+1 626-263-0560,Not available,cali-coservices.com,info@cali-coservices.com
"Powercal Electric, Inc.",+1 559-900-5559,Not available,powercalelectricinc.com,Email not found
California Electrical Services,+1 818-241-1800,"5924 San Fernando Rd, Glendale, CA 91202, United States",california-electrical.com,Email not found
Clovis Electric,+1 559-285-2402,"966 Greenfield Ave, Clovis, CA 93611, United States",cloviselectricinc.com,richardsellsbythesea@gmail.com
my OAKLAND ELECTRICIAN,+1 510-842-0144,"1714 Franklin St, Oakland, CA 94612, United States",myoaklandelectrician.com,
California Power & Light,+1 408-406-5832,Not available,cplelectric.com,
Socal Competitive Electric Inc,+1 951-232-9959,Not available,competitiveelectric.net,Email not found
"Silverfox Electric, Inc.",+1 559-903-1000,Not available,silverfoxelectric.com,Email not found
SoCal Electrical,+1 800-486-8409,"14025 Bergen Ave, Bellflower, CA 90706, United States",socal-electrical.com,
All In One Electric,+1 310-299-7265,Not available,allinone.la,info@allinone.la
Apex Electric,+1 559-741-5333,"712 W Pine St, Exeter, CA 93221, United States",Not available,Not available
"All Wire Electric, Inc.",+1 559-823-5552,Not available,allwireinc.com,Email not found
"Wild Electric, Inc.",+1 559-251-7770,"4626 E Olive Ave, Fresno, CA 93702, United States",wildelectric.com,
Martin Electrical & Lighting Inc.,+1 559-681-0011,Not available,martinelectrical.org,Email not found
A Custom Electric,+1 323-655-1829,Not available,acustomelectric.com,Email not found
Herring Electric,+1 559-365-2897,"1116 Arroyo Ave, Clovis, CA 93611, United States",herringelectricca.com,Mdherring69@gmail.com
Santa Rosa Electricians,+1 707-387-1888,"947 Yuba Dr, Santa Rosa, CA 95407, United States",santarosaelectricians.com,Email not found
Lovelock Electric,+1 559-273-0922,Not available,Not available,Not available
First Choice Electricians,+1 323-924-3273,"314 Omar St, Los Angeles, CA 90013, United States",Not available,Not available
"Westech Systems, LLC",+1 559-455-1720,"827 Jefferson Ave, Clovis, CA 93612, United States",westechsys.com,jvizcarra@westechsys.com
Sierra Electric,+1 559-575-5958,"28483 Hidden Hollow Ln, Tollhouse, CA 93667, United States",Not available,Not available
Electrician Near Me Los Angeles,+1 323-985-7977,"1065 Gayley Ave, Los Angeles, CA 90024, United States",Not available,Not available
Southern California Electric,+1 657-206-1993,Not available,scelectricservices.com,
SLS Electric,+1 559-758-2932,Not available,slselectricinc.com,Email not found
Direct Source Electric - OC Residential Commercial Industrial Electrician Contractor,+1 877-282-1616,Not available,directsourceelectric.com,Email not found
Orange County Electrician,+1 949-200-8905,Not available,orangecountyelectrician.us,sam@smartpowerelectric.com
E Electric,+1 559-430-9793,Not available,Not available,Not available
Hodges Electric Inc.,+1 559-298-5533,"1239 Hoblitt Ave, Clovis, CA 93612, United States",hodgesinc.com,Email not found
Electricians Service Team,+1 800-568-8664,"1950 San Vicente Blvd, Los Angeles, CA 90049, United States",electriciansserviceteam.com,info@electriciansserviceteam.com
All-Electric California,+1 415-430-7817,"590 Greenwich St, San Francisco, CA 94133, United States",allelectriccalifornia.com,allelectriccalifornia@gmail.com
Potential Electric,+1 559-682-7990,Not available,Not available,Not available
Power Design Electric Inc.,+1 559-897-2599,Not available,powerdesignelectric.net,Email not found
Industrial Electrical Co,+1 559-296-7297,"2516 N Sunnyside Ave, Fresno, CA 93727, United States",industrialelectricalco.com,Email not found
Brentwood Electrical Contractors,+1 310-935-0674,"2129 Pontius Ave, Los Angeles, CA 90025, United States",brentwoodelectrical.com,Email not found
California Power & Light,+1 408-776-3835,Not available,cplelectric.com,
Reen Electric,+1 559-901-1656,Not available,reenelectric.com,reenelectric2010@gmail.com
Harris Electric Inc,+1 559-271-0970,"4679 N El Capitan Ave, Fresno, CA 93722, United States",Not available,Not available
Egli Electric,+1 559-206-6962,Not available,eglielectric.net,Email not found
Sequoia Electric,+1 559-269-2166,Not available,Not available,Not available
