Name,Phone,Address,Website,Email
Central Islamabad,+92 51 8894488,Not available,instagram.com,Email not found
Dera Night Cafe & Resturant F8 Markaz Branch,+92 312 3663123,Not available,deranight.com,
Tiger Temple,+92 51 8443701,Not available,m.facebook.com,Email not found
Xinhua Capital Restaurant,+92 313 5555549,Not available,facebook.com,Email not found
Baba Restaurant,+92 51 2603146,Not available,Not available,Not available
Almahmud Restaurant,+44 20 8575 5522,Not available,Not available,Not available
Koz Ocakbasi Restaurant,+44 20 3417 8848,Not available,kozocakbasirestaurant.co.uk,Email not found
PBK Greenford,+44 20 8575 7700,Not available,pbkonline.com,
Taste of Persia,+44 20 8090 9075,Not available,tasteofpersialondon.co.uk,Email not found
Greenford Tandoori,+44 20 8578 3505,Not available,greenfordtandoori.co.uk,Email not found
XXL Restaurant,+44 20 8578 9708,Not available,Not available,Not available
Shami Kebab Restaurant,+44 20 8062 0839,Not available,Not available,Not available
Crispy Dosa 100% Pure Vegetarian Restaurant,+44 20 8869 0111,Not available,crispydosarestaurant.co.uk,Email not found
Papa’s Pan & Wok,Not available,Not available,papaspankebab.com,
IGrill (Burgers & Shakes),+44 20 8066 9596,Not available,ubereats.com,Email not found
Thai Street Food (Greenford),+44 20 8813 1131,Not available,thaistreetfoods.co.uk,Email not found
Tikka and Talk,+44 20 8497 7700,Not available,tikkaandtalk.com,Email not found
Pepe's,+44 20 8578 5578,Not available,pepes.co.uk,franchising@pepes.co.uk?subject=Franchising Enquiry from Website
Bismillah Restaurant,+44 20 8062 0839,Not available,bismillahrestaurant.co.uk,
Hot Honey,+44 20 3417 9132,Not available,Not available,Not available
Shah's Halal Food Greenford,+44 7513 398731,Not available,shahshalalfooduk.com,info@shahshalalfood.co.uk
Passion Jerk Centre,+44 20 3417 9050,Not available,Not available,Not available
Royal E Punjab,+44 20 8091 3902,Not available,Not available,Not available
The Railway,+44 20 8578 1193,Not available,greeneking.co.uk,
Darbona Greenford,+44 20 8016 3544,Not available,darbona.co.uk,
Baity Restaurant,+44 20 8997 7555,Not available,Not available,Not available
Chicken Guys Greenford (Halal),+44 20 3490 7024,Not available,chickenguystakeaway.com,
Chicken Cottage,+44 20 3417 9132,Not available,chickencottage.com,Email not found
Sundarban Tandoori,+44 20 8902 4706,Not available,chefonline.co.uk,Email not found
Ballot Box,+44 20 8902 2825,Not available,hungryhorse.co.uk,
Tycoon Restaurant & Banqueting Suite,+44 20 8423 0808,Not available,Not available,Not available
Blue Orchid Restaurant and Bar,+44 20 8842 1340,Not available,blueorchidlounge.co.uk,info@blueorchidlounge.co.uk
Greenford Kebab,+44 20 8575 7707,Not available,odonz.me,Email not found
Ishtar Grill,+44 20 8423 3233,Not available,Not available,Not available
Pizza Hut Greenford,+44 20 8575 5888,Not available,pizzahut.co.uk,Email not found
KOOL WESHKOOR,+44 20 7454 2606,Not available,Not available,Not available
Sunjam Caribbean Caterer's London,+44 20 8578 6979,Not available,sunjamcaterers.com,Email not found
Rocco's Pizza,+44 20 8566 6566,Not available,greenford.roccospizza.co.uk,Email not found
Wong's Chinese,+44 20 8578 2550,Not available,Not available,Not available
KFC Greenford - The Broadway,+44 20 8578 2783,Not available,kfc.co.uk,
McDonald's,+44 20 8578 5847,Not available,mcdonalds.com,contact.privacy@us.mcd.com
Burrito and Tequila (Greenford),+44 20 8813 1131,Not available,burritotequila.com,Email not found
Masala Hub,+44 20 8575 2333,Not available,Not available,Not available
Olivia Pizza (Greenford),+44 20 8813 1131,Not available,oliviapizza.co.uk,Email not found
Darbona Cafe & Restaurant,+44 20 8016 3544,Not available,darbona.co.uk,
Little Caesars Pizza,+44 20 3380 6257,Not available,gb.littlecaesars.com,Email not found
Pizza World,+44 20 8900 8485,Not available,Not available,Not available
Cafe Moon Cresent,+44 20 8813 1525,Not available,Not available,Not available
New Golden Palace,+44 20 8578 5888,Not available,newgoldenpalace.co.uk,Email not found
Sam's Chicken Greenford,+44 20 8578 1905,Not available,samschicken.co.uk,
Royal Nawaab Perivale,+44 20 8998 6151,Not available,royalnawaab.com,
Delicia Restaurant and Cafe,+44 7827 195200,Not available,Not available,Not available
Amasi Cafe,+44 20 3583 1782,Not available,Not available,Not available
Maggie's Fish and Chips Greenford,+44 20 8833 7225,Not available,ubereats.com,Email not found
Greenford fish & chips,+44 20 8575 5535,Not available,odonz.me,Email not found
enset restaurant,Not available,Not available,Not available,Not available
Beijing Noodles (Greenford),+44 20 8813 1131,Not available,beijing-noodles.com,Email not found
Chicken city Greenford,+44 20 3754 9516,Not available,chickenvalley.co.uk,
YummyPL,+44 20 8422 0905,Not available,linebuys.pw,
Chicken Hot Greenford,+44 20 3581 1673,Not available,Not available,Not available
Subway Greenford,+44 20 3302 5005,Not available,subway.co.uk,
Domino's Pizza - London - Greenford Road,+44 20 8423 5777,Not available,dominos.co.uk,
KT Colombo Taste,+44 20 3659 2437,Not available,Not available,Not available
KFC Alperton - Western Avenue,+44 20 8997 1148,Not available,kfc.co.uk,
German Doner Kebab,+44 20 8571 4111,Not available,germandonerkebab.com,press@gdk.com?subject=Media%20Enquiry%20via%20GDK%20Website
German Doner Kebab,+44 20 8571 4111,Not available,germandonerkebab.com,
Super Chef,+44 20 8575 5722,Not available,Not available,Not available
Punjabi Kitchen,+44 20 8579 4474,Not available,punjabikitchens.co.uk,https
Taste of Watan Harrow,+44 20 8422 6129,Not available,tasteofwatanharrow.co.uk,#
Tiffty's Tavern,+44 7762 900596,Not available,Not available,Not available
Door To Door Pizza,+44 20 8998 9933,Not available,doortodoorpizza.co.uk,
Kluseczka,+44 20 8998 9444,Not available,kluseczka.co.uk,Email not found
Tasty Kebab & Pizza House,+44 20 3632 3062,Not available,Not available,Not available
Ambrosia Restaurant & Disco,Not available,Not available,Not available,Not available
Royal Gujarat restaurant,+44 20 4537 1251,Not available,Not available,Not available
Big Boys Cafe,+44 20 8578 1873,Not available,Not available,Not available
Dicey Reilly’s Greenford,+44 20 3638 0923,Not available,Not available,Not available
Persian Palace (Harrow),+44 20 0040 4233,Not available,persianpalace.co.uk,Email not found
Lamar Cafe & Lounge,+44 20 8991 2945,Not available,lamar.cafe,Email not found
The Bridge Hotel Greenford,+44 20 8566 6246,Not available,thebridgehotel.com,reception@thebridgehotel.com
Western Fried Chicken,+44 20 8578 4681,Not available,Not available,Not available
Piwnica na Piętrze,+44 20 8426 5713,Not available,facebook.com,Email not found
Tennesee Land Chicken,+44 20 8998 8642,Not available,Not available,Not available
Greenford Arms,Not available,Not available,craftunionpubs.com,
HASOUN GRILL,+44 20 8567 3923,Not available,hasoungrill.co.uk,
Linkup,+44 20 3759 2903,Not available,Not available,Not available
Raunka Punjab Diyan,+44 20 7998 1545,Not available,raunkapunjabdiyan.co.uk,
Cottage Peri Peri,+44 20 3876 5203,Not available,Not available,Not available
The Crown,+44 20 8845 1197,Not available,sizzlingpubs.co.uk,Email not found
China Kitchen,+44 20 8575 6868,Not available,china-kitchen-london.edan.io,Email not found
Premier Inn London Greenford hotel,+44 333 321 1263,Not available,premierinn.com,Email not found
YO! Greenford Hoover Building Tesco Kiosk,+44 345 677 9308,Not available,yosushi.com,?subject=yuzu shu cream puff&body=https
Sakonis,+44 20 8903 9601,Not available,sakonis.co.uk,info@sakonis.co.uk
Las Iguanas - London - Wembley,+44 20 8629 8886,Not available,iguanas.co.uk,Email not found
Chicken Land Sudbury Hill,+44 20 8423 6444,Not available,Not available,Not available
Costa's Fish Bar,+44 20 8997 6226,Not available,costasfishbar.com,Email not found
Pizza House Mediterranean Restaurant,+44 20 8998 6878,Not available,pizzapitshangerlane.com,
Asher's Africana Restaurant,+44 20 8795 2455,Not available,Not available,Not available
Atlantis Greek Restaurant,+44 20 8810 8836,Not available,atlantisgreek.co.uk,info@atlantisgreek.co.uk
Savannah Lounge,+44 20 8902 0063,Not available,savannahlounge.co.uk,Email not found
Desi Dhaba,+44 20 8903 8000,Not available,social.quandoo.com,
Golden Dragon,+44 20 8998 3029,Not available,Not available,Not available
Haven Grill Meze Mangal,+44 20 8997 1222,Not available,havengrill.co.uk,Email not found
Midan Market,+44 20 3302 5450,Not available,Not available,Not available
Samrat Indian Restaurant,+44 20 8997 8923,Not available,samratrestaurant.co.uk,
London Pizza,+44 20 8842 4969,Not available,londonpizzanortholt.com,Email not found
Makla Charcoal Grill London,+44 20 3581 6363,Not available,Not available,Not available
Wellfound,+44 20 7998 7376,Not available,wellfound.org.uk,contact@wellfound.org.uk
The Salvation Army (Greenford),+44 20 8575 8380,Not available,salvationarmy.org.uk,id@salvationarmy.org.uk
E C T Charity,+44 20 8813 3210,Not available,ectcharity.co.uk,privacy@ectcharity.co.uk
Cancer Research UK,+44 20 8575 0390,Not available,cancerresearchuk.org,supporter.services@cancer.org.uk
Arsh Foundation,+44 20 3432 3786,Not available,arshfoundation.org,Email not found
Age UK Ealing,+44 20 8578 2712,Not available,ageuk.org.uk,volunteer@ageuk.co.uk
YMCA St Paul's Group,+44 20 8832 1540,Not available,ymcastpaulsgroup.org,press@ymcaspg.org
The Democracy Forum,+44 20 3490 0087,Not available,thedemocracyforumltd.com,thedemocracyforum@hotmail.co.uk
Trans Noah Alliance,+256 764 420690,Not available,transnoah.org,
The Kalgidhar Trust Baru Sahib,+44 7702 557495,Not available,barusahib.org,info@barusahib.org
Open Rights Group,+44 20 7096 1079,Not available,openrightsgroup.org,press@openrightsgroup.org
Young Ealing Foundation,+44 7494 174951,Not available,youngealingfoundation.org.uk,Email not found
The Saifee Foundation Europe,+44 20 8839 0750,Not available,saifeefoundationeurope.org.uk,Email not found
Fara Charity Shop - Greenford,+44 20 8813 0819,Not available,faracharityshops.org,jobs@faracharity.org
Nia Children's Foundation,+44 7958 143079,Not available,niachildrensfoundation.org,
Greenford Community Centre,+44 20 8578 2712,Not available,ageuk.org.uk,volunteer@ageuk.co.uk
The Ngbotima Charity Trust,+44 7971 365654,Not available,Not available,Not available
HORN OF AFRICA FOUNDATION,+44 7535 601005,Not available,hornofafricafoundation.org,info@hornofafricafoundation.org
ALQST for Human Rights,+44 20 7385 1311,Not available,alqst.org,?subject=القسط تحث قادة الأعمال في المعرض التجاري البريطاني-السعودي على ضمان عدم التواطؤ في الانتهاكات الحقوقيّة&body=https
NishkamSWAT,+44 7425 365365,Not available,nishkamswat.org,Email not found
Ealing Volunteer Centre,Not available,Not available,ehcvs.org.uk,info@ehcvs.org.uk
Light Foundations,+44 7737 945225,Not available,lightfoundations.org,esther.chimfwembe@uw.partners
Humanitarian Aid Relief Trust,+44 20 8205 4608,Not available,hart-uk.org,Email not found
Still I Rise Charity,+44 1340 202022,Not available,stillirise.org.uk,Email not found
Ummah Charity International,+44 20 8903 8944,Not available,ummahcharityinternational.org,info@alwahabfoundation.org
Green Shoots Foundation,Not available,Not available,greenshootsfoundation.org,info@greenshootsfoundation.org
Ealing Anchor Foundation,+44 20 8571 9954,Not available,ealinganchor.org.uk,info@pestscharity.org.uk
Southall Black Sisters,+44 20 8571 9595,Not available,southallblacksisters.org.uk,Email not found
Muslim Care,+44 20 8090 0520,Not available,muslimcare.org,Email not found
Bubble,+44 20 8825 5000,Not available,dosomethinggood.org.uk,Email not found
Windmill Children's Centre,+44 20 8813 1295,Not available,ealingfamiliesdirectory.org.uk,
Light Education Development,Not available,Not available,lighteducationdevelopment.org,?subject=%5BShared%20Post%5D%20How%20You%20Can%20Help&body=https%3A%2F%2Flighteducationdevelopment.org%2Fhow-you-can-help%2F&share=email
Twining Enterprise,+44 20 8840 8833,Not available,twiningenterprise.org.uk,info@westlondonworks.co.uk
Sufra NW London,+44 20 3441 1335,Not available,sufra-nwlondon.org.uk,admin@sufra-nwlondon.org.uk
Aviation Without Borders,+44 20 8564 9967,Not available,aviationwithoutborders.org,Email not found
Greenford Park Community Hall,Not available,Not available,Not available,Not available
Families' Relief Charity Shop,Not available,Not available,Not available,Not available
Gen,+44 20 8997 2357,Not available,Not available,Not available
"West London YMCA part of YMCA St Paul,'s Group",+44 20 8832 1540,Not available,Not available,Not available
